A̱o,IPC
1938,"0,00000126625679479986"
1939,"0,00000133798159889059"
1940,"0,00000139681576998805"
1941,"0,00000144573406955223"
1942,"0,00000139979053144804"
1943,"0,00000154224855247616"
1944,"0,00000159348055539811"
1945,"0,0000018020443866481"
1946,"0,00000198714065526932"
1947,"0,00000228924420798326"
1948,"0,00000232890769411638"
1949,"0,00000244492339105575"
1950,"0,00000234080673995631"
1951,"0,00000268257377880337"
1952,"0,00000305508001940359"
1953,"0,00000326199120539803"
1954,"0,00000364639649183819"
1955,"0,00000396568755520981"
1956,"0,00000423506873186392"
1957,"0,00000485560397241658"
1958,"0,00000570460089309602"
1959,"0,0000079591395507128"
1960,"0,0000110244659707008"
1961,"0,0000135292151200073"
1962,"0,0000150060189203638"
1963,"0,0000181870305082401"
1964,"0,0000259035617354386"
1965,"0,0000405549229839622"
1966,"0,0000703504642962133"
1967,"0,000133161891465674"
1968,"0,000300069476933406"
1969,"0,000362749684069576"
1970,"0,00042230837484707"
1971,"0,000523313425459367"
1972,"0,00092355072291861"
1973,"0,00181889739132913"
1974,"0,00322331158525961"
1975,"0,00584726075896085"
1976,"0,00880732247088749"
1977,"0,0139328472707736"
1978,"0,0201396999555959"
1979,"0,0336016834199717"
1980,"0,0549310482175857"
1981,"0,0736325080751032"
1982,"0,0876171631251173"
1983,"0,130722511506901"
1984,"0,203019246594099"
1985,"0,349643173377546"
1986,"0,616701259624873"
1987,"1,00871827159408"
1988,"1,63606032214135"
1989,"2,95222832591387"
1990,"6,27425529950673"
1991,"12,6722527608263"
1992,"21,347149061276"
1993,"32,8955495883521"
1994,"47,6137544744583"
1995,"67,7285322326442"
1996,"86,9256749253105"
1997,"104,152583352107"
1998,"115,4125"
1999,"121,943333333333"
2000,"127,7525"
2001,"133,329166666667"
2002,"151,951666666667"
2003,"181,3975"
2004,"198,009166666667"
2005,"207,314166666667"
2006,"220,58"
2007,"238,48"
2008,"257,26"
2009,"275,425833333333"
2010,"293,878333333333"
